 品項   銷售量   銷售額  利潤  建議售價
33         花生醬蛋捲  37.0  8325  45   250(x)
29         滷味_鴨翅  19.0  1197  22    79
32         芝麻醬蛋捲  15.0  3375  45   250(x)
27         滷味_百頁  13.0   468  13    45
43        雞胸肉-塔可  12.0   540  10    50
44        雞胸肉-炭烤  11.0   495  10    50
45        雞胸肉-羅勒  11.0   495  10    50
47          鹹酥腰果   8.0   744   9   105
21   滴滴哒心蛋捲禮盒_原味   7.0  2681  38   430(x)
28         滷味_雞翅   7.0   364  12    65
2         冷凍鍋貼     6.0   678  23   130
3      卡滋爆米花_巧克力   6.0   552   9   105
4       卡滋爆米花_焦糖   6.0   552   9   105
18       沙琪瑪(黑糖)   6.0   432  12    85(x)
24    滷味_川辣雞心      6.0   618  21   125
25       滷味_川辣雞胗   6.0   306  10    60
26         滷味_毛豆   6.0   264  14    55
34          菲力牛肉   6.0  1062  39   209
40  雞皮餅乾_椒香麻辣      6.0   402   9    75
5       卡滋爆米花_起士   5.0   460   9   105


                 品項   銷售量   銷售額   利潤  建議售價
33            花生醬蛋捲  37.0  8325   45   250
32            芝麻醬蛋捲  15.0  3375   45   250
21      滴滴哒心蛋捲禮盒_原味   7.0  2681   38   430
6        卡滋白爛貓爆米花造型   3.0  1467   49   545
29            滷味_鴨翅  19.0  1197   22    79
34             菲力牛肉   6.0  1062   39   209
30          炙燒松阪豬     4.0   924   46   269
0   HELLO_KITTY穀物米捲   2.0   766   38   430
47             鹹酥腰果   8.0   744    9   105
11            干貝海鮮羹   2.0   714  107   445
2            冷凍鍋貼     6.0   678   23   130
24       滷味_川辣雞心      6.0   618   21   125
10            夏威夷披薩   4.0   600   30   179
13       日式黃金香酥蝦排     4.0   588   37   179
31           煙燻櫻桃鴨胸   2.0   560   70   329
3         卡滋爆米花_巧克力   6.0   552    9   105
4          卡滋爆米花_焦糖   6.0   552    9   105
8            去骨黃金雞腿   5.0   550   20   129
38        金黃鮮嫩爆醬雞肉捲   4.0   540   20   150
43           雞胸肉-塔可  12.0   540   10    50


 品項   銷售量   銷售額  利潤  建議售價
38       滷味_毛豆  27.0  1104  14    55
41      滷味_豬耳朵  19.0   855  11    55
44       滷味_鴨翅  19.0  1197  22    79
42       滷味_雞爪  15.0   660  12    55
39       滷味_百頁  13.0   468  13    45
40       滷味_豆干   8.0   360  11    55
43       滷味_雞翅   7.0   364  12    65
36  滷味_川辣雞心      6.0   618  21   125
37     滷味_川辣雞胗   6.0   306  10    60
35  滷味_川辣牛腱      2.0   212  21   130
34     滷味_川辣牛肚   0.0     0  21   130
